Month,World,OPEC,non-OPEC
2016-04-01,80031.832,33765.389,46266.443
2016-05-01,79233.307,33674.937,45558.37
2016-06-01,79915.217,34093.378,45821.839
2016-07-01,80659.79,34275.457,46384.333
2016-08-01,80112.581,34194.993,45917.588
2016-09-01,80440.654,34192.829,46247.825
2016-10-01,81618.556,34528.183,47090.373
2016-11-01,82641.228,34975.847,47665.381
2016-12-01,82110.422,34719.39,47391.032
2017-01-01,81193.277,33892,47301.277
2017-02-01,81183.182,33691,47492.182
2017-03-01,80377.455,33228,47149.455
2017-04-01,79943.044,33362,46581.044
2017-05-01,80526.239,33852,46674.239
2017-06-01,81074.666,34237,46837.666
2017-07-01,81591.395,34481,47110.395
2017-08-01,80980.171,34258,46722.171
2017-09-01,81190.734,34435,46755.734
2017-10-01,81344.209,34175,47169.209
2017-11-01,82013.708,34019,47994.708
2017-12-01,81735.807,33968,47767.807
2018-01-01,82231.262,34186,48045.262
2018-02-01,82389.559,34028,48361.559
2018-03-01,82181.468,33784,48397.468
2018-04-01,81827.577,33691,48136.577
2018-05-01,81571.097,33542,48029.097
2018-06-01,82238.671,33642,48596.671
2018-07-01,82684.869,33671,49013.869
2018-08-01,83235.012,33959,49276.012
2018-09-01,83260.5,34130,49130.5
2018-10-01,84449.007,34339,50110.007
2018-11-01,84645.72,34106,50539.72
2018-12-01,84322.652,33404,50918.652
2019-01-01,82938.208,32777,50161.208
2019-02-01,82591.559,32685,49906.559
2019-03-01,82493.574,32184,50309.574
2019-04-01,82215.536,32217,49998.536
2019-05-01,81575.784,31800,49775.784
2019-06-01,81683.273,31873,49810.273
2019-07-01,81326.505,31463,49863.505
2019-08-01,82352.2,31712,50640.2
2019-09-01,80709.254,30149,50560.254
2019-10-01,82588.352,31513,51075.352
2019-11-01,83463.813,31452,52011.813
